entry_id,structure_file,structure_provenance,compound_name,formula,metal_center,metal_ox_state,d_electron_count,ligand_set,point_group,geometry_source,method,software,basis_set,relativistic_treatment,soc_included,ss_included,active_space_nel,active_space_norb,active_space_orbital_description,active_space_protocol,multiplicities_studied,nroots_per_mult,ground_state_mult,electronic_structure_description,Other,reference_short,reference_doi,year,notes,correlation_correction,entry_type,mining_model
W2996644751-a,W2996644751-a.xyz,computational,"Fe(II) porphyrin (unsubstituted model system, D4h geometry)",,Fe,II,d6,porphyrin macrocycle (4x N coordination),D4h,optimized triplet geometry from their Ref 82 (same geometry as the HCISCF study they compare against),ASCI-SCF (selected-CI approximation to CASSCF for large active spaces) + extrapolated ASCI+PT2,"Q-Chem (evidenced by $molecule/$rem input-file format in SI, not named in main text)",cc-pVDZ,,,,40,42,"24 porphyrin pi orbitals + Fe 3d, 4s, 4p, 4d complete shells + 4 N sigma lone pairs coordinating Fe","(32,29) 5 Fe 3d + 24 porphyrin pi; (44,44) additionally Fe 4d (double-shell), Fe 4px/4py, eight N 2px/2py — found unbalanced (odd subset of C-N sigma/sigma* enters, orbital optimization pushes weakly-correlated orbitals like 4d(x2-y2) out, symmetry breaking, local extrema); final balanced (40,42) = 24 pi + Fe 3d/4s/4p/4d + 4 N sigma lone pairs (drops non-coordinating N 2p, adds Fe 4s/4pz to complete shells) — preserved orbital symmetry, no orbital slipping","3,5",,3,"Ground term: 3A2g. (40e,42o) extrapolated ASCI+PT2, relative E in paper's kcal/mol [eV converted]: 3A2g 0.0; 3Eg 1.3(1) [0.056]; 5A1g 4.5(1) [0.195]; 5Eg 9.2(1) [0.399]. Totals (Eh): -2245.2208(1), -2245.2187(1), -2245.2137(2), -2245.2062(2)","PT2 correction critical for state ordering: at variational ASCI-SCF level 5A1g is lowest, triplet ground state only after +PT2. Unbalanced (44e,44o) space gave quintet ground with ~19 kcal/mol quintet-triplet gap; paper argues the earlier HCISCF triplet result for (44e,44o) (their Ref 40) is a local extremum. NOONs show little multireference character in all four states. States are state-specific orbital-optimized (not state-averaged); 3B2g etc. collapsed during orbital optimization","Levine, Hait, Tubman, Lehtola, Whaley, Head-Gordon, J. Chem. Theory Comput. (2020)",10.1021/acs.jctc.9b01255,2020,"Mined from OA text (arXiv PDF) by claude-casscf-data_mining. d6 is arithmetic from the stated Fe(II); software not stated in the extracted text (left empty); no SOC/SS treatment mentioned anywhere (flags left empty rather than assumed 'no'); kcal/mol->eV conversion mine (1 kcal/mol = 0.0433641 eV); nroots_per_mult empty because states were separately converged, not state-averaged roots. Experimental ground state is triplet (their Refs 74-76), consistent with the (40,42) result. Paper's NiC (22e,89o) CASCI benchmark skipped: full-valence convergence test, no state ordering; SI fetched 2026-07-15: structure_file is the VERBATIM geometry from the SI input file (not generated); software field filled from SI input-file syntax",PT2,llm_mining,claude-opus-4-8
W2160052848-a,,,"(C3N2H5)CuO2 — side-on Cu-O2 with truncated 1,3-diketiminate model ligand (LCuO2)",,Cu,,,"1,3-diketiminate model (C3N2H5, N,N-chelate) + side-on O2",C2v (planar),"B3LYP-DFT optimized (Stuttgart PP + basis on Cu, 6-31G(d) others); lowest singlet and triplet structures separately","RASPT2 (RASSCF reference) and CASPT2, state-specific",,"ANO-RCC ('BS2'): Cu [7s6p4d3f2g], N/O [4s3p2d1f], C [4s3p2d], H [3s1p]","DKH2 (second-order Douglas-Kroll-Hess, used with BS2; all calcs on this compound used BS2)",,,18,21,"all Cu 3d,4d + O 2p,3p except one O 3p (corresponding to unoccupied sigma_y* of O2^2-); RAS2 subspace (8,6) = Cu 3dxy / O 2px,y bonding-antibonding combinations + O 2pz pi*(a2)","(8,6) minimal: Cu 3dxy-O 2px,y combinations + O 2pz pi*(a2); (16,15) adds Cu 3d double-shell (4d), drops O 3p and non-bonding doubly-occupied O 2pz pi(b2); (18,21) full valence Cu 3d,4d + O 2p,3p minus sigma_y* O 3p. RAS1->RAS3 excitation level n=2-4; up to quadruples mandatory for Cu-O bond correlation","1,3",,1,"Ground term: 1A1. Delta_EST = E(3B2) - E(1A1), paper's kcal/mol [eV converted]: RASPT2(18in21)//4 = 11.2 [0.486]; RASPT2(18in21)/(8in6)/3 = 11.5 [0.499]; RASPT2(16in15)//4 = 7.7 [0.334]; CASPT2(16in15) = 6.3 [0.273]; CASPT2(8in6) = 17.8 [0.772]","Cu 3d double-shell effect shifts CASPT2 Delta_EST by >10 kcal/mol between (8in6) and (16in15) reference; adding O 2p-3p correlation ((16,15)->(18,21)) shifts another 2.5-3.5 kcal/mol; authors' converged estimate 11.2-11.5 kcal/mol favoring singlet","Malmqvist, Pierloot, Shahi, Cramer, Gagliardi, J. Chem. Phys. 128, 204109 (2008)",10.1063/1.2920188,2008,"Mined from OA text (AIP PDF) by claude-casscf-data_mining. PDF text has glyph-encoding artifacts but tables legible. Software not stated in extracted text (MOLCAS-era authors, but not stated -> left empty); Cu oxidation state not explicitly stated -> ox state and d-count left empty; no SOC/SS mentioned -> flags left empty; kcal/mol->eV conversions mine (1 kcal/mol = 0.0433641 eV). RASPT2 method paper, but this system is a real benchmark application with full active-space specifications",CASPT2; RASPT2,llm_mining,claude-opus-4-8
W2160052848-b,,,{[Cu(NH3)2]2O2}2+ — bis(mu-oxo) vs mu-eta2:eta2-peroxo isomers,,Cu,,,2x NH3 per Cu + bridging O2 (bis(mu-oxo) / side-on peroxo Cu2O2 core),,"structures taken from their Ref 49 (same as prior DFT/CR-CC study, results directly comparable)",RASPT2 (RASSCF reference) and CASPT2,,"BS1: Stuttgart PP + basis on Cu, ANO-L [4s3p2d] O/N, [2s1p] H; some results with BS2: ANO-RCC (see -a row)",DKH2 for BS2 results; BS1 results without (Stuttgart PP on Cu),,,28,32,"all valence electrons from occupied Cu 3d and O 2p in all valence orbitals + one correlating orbital each (Cu 3d,4d + O 2p,3p); RAS2 left empty (all in RAS1/RAS3) except (8in6) variants","(8,6) minimal: bonding/antibonding combinations of both Cu 3dxy + O 2px,y; (24,24) adds Cu 4d double-shell + remaining Cu 3d, O 2p and correlating orbitals minus O 2pz,3pz and O 3px,y; (24,28) adds back O 3px,y; (28,32) full: Cu 3d,4d + O 2p,3p. RAS1->RAS3 excitation levels n=2-5; authors judge total active-space size converged at (28,32)",1,,,,"Delta_Ebp = E(bis(mu-oxo)) - E(peroxo), kcal/mol: best BS1 RASPT2(28in32)//4 = -0.7 (no Cu 3s3p corr.) / -0.4 (with); BS2 RASPT2(24in28)//4 = -2.6, (28in32)//4 = -3.3; CASPT2(8in6) BS2 = -26.2 (severely overestimates bis(mu-oxo) stability). Authors: impossible to converge this equilibrium with plain CASPT2 active spaces; Cu 3s,3p semicore correlation effect ~3 kcal/mol at CASPT2(8in6) but shrinks with larger active spaces","Malmqvist, Pierloot, Shahi, Cramer, Gagliardi, J. Chem. Phys. 128, 204109 (2008)",10.1063/1.2920188,2008,"Mined from OA text (AIP PDF) by claude-casscf-data_mining. Isomerization energetics on the singlet surface, not a spin-state study -> ground-state/low-lying-state fields empty; formal Cu ox states of the isomers not stated in extracted text -> left empty; software not stated -> left empty. Companion row -c is the n=3 analogue from the same tables",CASPT2; RASPT2,llm_mining,claude-opus-4-8
W2160052848-c,,,{[Cu(NH3)3]2O2}2+ — bis(mu-oxo) vs mu-eta2:eta2-peroxo isomers,,Cu,,,3x NH3 per Cu + bridging O2 (bis(mu-oxo) / side-on peroxo Cu2O2 core),,"structures taken from their Ref 49 (same as prior DFT/CR-CC study, results directly comparable)",RASPT2 (RASSCF reference) and CASPT2,,"BS1: Stuttgart PP + basis on Cu, ANO-L [4s3p2d] O/N, [2s1p] H; some results with BS2: ANO-RCC (see -a row)",DKH2 for BS2 results; BS1 results without (Stuttgart PP on Cu),,,28,32,"all valence electrons from occupied Cu 3d and O 2p in all valence orbitals + one correlating orbital each (Cu 3d,4d + O 2p,3p); RAS2 left empty (all in RAS1/RAS3) except (8in6) variants","same buildup as -b row: (8,6) -> (24,24) -> (24,28) -> (28,32), RAS1->RAS3 excitation levels n=2-5",1,,,,"Delta_Ebp = E(bis(mu-oxo)) - E(peroxo), kcal/mol: best BS1 RASPT2(28in32)//4 = 8.0 (no Cu 3s3p corr.); (24,28)//4 = 7.6/7.0; BS2 RASPT2(24in28)//4 = 1.8; CASPT2(8in6) BS1 = -8.8/-13.6, BS2 = -20.6 (wrong sign vs converged RASPT2 — peroxo favored with adequate active space)","Malmqvist, Pierloot, Shahi, Cramer, Gagliardi, J. Chem. Phys. 128, 204109 (2008)",10.1063/1.2920188,2008,"Mined from OA text (AIP PDF) by claude-casscf-data_mining. Same caveats as -b row (isomerization energetics, singlet surface; ox states and software not stated -> empty). Note CASPT2(8in6) predicts the wrong isomer ordering for n=3; converged RASPT2 favors peroxo by ~2-8 kcal/mol depending on basis",CASPT2; RASPT2,llm_mining,claude-opus-4-8
W2069560102-b,W2069560102-b.xyz,ai_generated,all-trans octatetraene C8H10,C8H10,none,,,,C2h (constrained),"B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,cc-pVDZ,,,,8,8,complete pi-valence space: all 8 C 2pz-derived pi/pi* orbitals,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,Ground term: 1Ag-. E(1Ag-) = -308.825879 Eh; excitations (eV): 2Ag- 4.69; 1Bu- 5.88 (f=0.0565); 3Ag- 6.60 (expt 2Ag- 3.54),dark 2Ag- below bright 1Bu- throughout the series; state ordering 1Ag < 2Ag < 1Bu < 3Ag,"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). One of 5 polyenes C8-C24 in this paper, all with complete (n,n) pi spaces; structure_file is a generated PubChem conformer (PubChem CID 5463164), not the paper's geometry",none,llm_mining,claude-opus-4-8
W2069560102-c,,,all-trans polyene C12H14,C12H14,none,,,,C2h (constrained),"B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,cc-pVDZ,,,,12,12,complete pi-valence space: all 12 C 2pz-derived pi/pi* orbitals,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,Ground term: 1Ag-. E(1Ag-) = -462.670591 Eh; excitations (eV): 2Ag- 3.76; 1Bu- 4.74 (f=0.0620); 3Ag- 5.59,dark 2Ag- below bright 1Bu- throughout the series; state ordering 1Ag < 2Ag < 1Bu < 3Ag,"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). One of 5 polyenes C8-C24 in this paper, all with complete (n,n) pi spaces",none,llm_mining,claude-opus-4-8
W2069560102-d,,,all-trans polyene C16H18,C16H18,none,,,,C2h (constrained),"B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,cc-pVDZ,,,,16,16,complete pi-valence space: all 16 C 2pz-derived pi/pi* orbitals,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,Ground term: 1Ag-. E(1Ag-) = -616.514639 Eh; excitations (eV): 2Ag- 3.25; 1Bu- 4.03 (f=0.0502); 3Ag- 4.78 (expt 2Ag- 2.21),dark 2Ag- below bright 1Bu- throughout the series; state ordering 1Ag < 2Ag < 1Bu < 3Ag,"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). One of 5 polyenes C8-C24 in this paper, all with complete (n,n) pi spaces",none,llm_mining,claude-opus-4-8
W2069560102-e,,,all-trans polyene C20H22,C20H22,none,,,,C2h (constrained),"B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,cc-pVDZ,,,,20,20,complete pi-valence space: all 20 C 2pz-derived pi/pi* orbitals,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,Ground term: 1Ag-. E(1Ag-) = -770.358327 Eh; excitations (eV): 2Ag- 2.93; 1Bu- 3.57 (f=0.0427); 3Ag- 4.20 (expt spheroidene 1.76/2.18/2.47),dark 2Ag- below bright 1Bu- throughout the series; state ordering 1Ag < 2Ag < 1Bu < 3Ag,"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). One of 5 polyenes C8-C24 in this paper, all with complete (n,n) pi spaces",none,llm_mining,claude-opus-4-8
W2069560102-f,,,all-trans polyene C24H26,C24H26,none,,,,C2h (constrained),"B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,cc-pVDZ,,,,24,24,complete pi-valence space: all 24 C 2pz-derived pi/pi* orbitals,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,Ground term: 1Ag-. E(1Ag-) = -924.201821 Eh; excitations (eV): 2Ag- 2.73; 1Bu- 3.25 (f=0.0384); 3Ag- 3.78 (expt spheroidene 1.53/1.80/2.02),dark 2Ag- below bright 1Bu- throughout the series; state ordering 1Ag < 2Ag < 1Bu < 3Ag,"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). One of 5 polyenes C8-C24 in this paper, all with complete (n,n) pi spaces",none,llm_mining,claude-opus-4-8
W2069560102-a,W2069560102-a.xyz,ai_generated,beta-carotene (s-cis conformer),C40H56,none,,,,"~Ci (backbone planar, end groups twisted)","B3LYP/cc-pVDZ optimized in Gaussian03, C2h constrained","SA-DMRG-CASSCF (M=250, 4-state average; DMRG error < 0.1 mEh vs exact CASSCF)",authors' parallel DMRG-CASSCF implementation; RHF orbitals from PSI3; geometries from Gaussian03,6-31G (reduced from cc-pVDZ due to molecule size),,,,22,22,complete pi-valence space of the 11 conjugated backbone double bonds,"complete pi-valence space in one step: (n,n) with n = number of pi electrons; initial guess from projected-atomic-orbital (PAO) antibonding set + Pipek-Mezey localized bonding MOs (HF canonical virtuals unusable due to 2p-3p mixing)",1,4,1,"Ground term: 1Ag-. E(1Ag-) = -1546.914545 Eh; excitations (eV): 2Ag- 2.99 (forbidden, expt 1.81); 1Bu- 3.63 (f=0.2025, expt 2.05); 3Ag- 4.31 (forbidden; 2.22 for lycopene)",reproduces experimental state ordering 1Ag < 2Ag < 1Bu < 3Ag; effective conjugation length estimated 9.5-9.7 bonds vs 11 formal (expt 9.7),"Ghosh, Hachmann, Yanai, Chan, J. Chem. Phys. (2008)",10.1063/1.2883976,2008,"Mined from OA text by claude-casscf-data_mining. Metal-free organic (metal_center=none per policy). Excitation energies overestimated vs experiment due to missing sigma-pi dynamic correlation (authors' assessment). Geometry procedure as polyenes; 6-31G basis; structure_file is a generated PubChem conformer (PubChem CID 5280489), not the paper's geometry",none,llm_mining,claude-opus-4-8
